Designator,Mid X,Mid Y,Rotation,Layer
BT1,76.858,-88.392,90.0,top
BT2,99.568,-88.392,90.0,top
C13,180.0,-82.0,180.0,top
C14,157.0,-91.0,0.0,top
C15,158.5,-85.25,0.0,top
C16,138.0,-123.0,270.0,top
C17,108.5,-131.0,270.0,top
C18,147.5,-110.5,270.0,top
C19,142.5,-113.5,270.0,top
C20,145.0,-118.0,90.0,top
C21,157.0,-119.0,90.0,top
C22,142.1,-90.85,270.0,top
C23,158.1,-71.25,90.0,top
C4,160.825,-57.6,180.0,top
C5,144.5,-56.75,180.0,top
C6,134.2,-62.1,90.0,top
C7,196.425,-49.325,0.0,top
C8,196.65,-57.05,180.0,top
D2,127.5,-114.75,0.0,top
D3,127.314906,-118.013222,0.0,top
D4,152.8826,-119.0,270.0,top
F2,154.5,-75.75,90.0,top
IC1,136.6342,-117.6012,0.0,top
J1,197.3072,-76.8096,90.0,top
J12,156.5,-111.0,0.0,top
J13,149.0,-83.25,0.0,top
J14,149.25,-73.5,0.0,top
J15,159.2,-76.6,0.0,top
J16,116.0,-117.0,0.0,top
J17,157.0,-95.0,0.0,top
J18,177.25,-88.75,0.0,top
J19,172.0,-70.0,0.0,top
J2,150.7022,-131.4768,0.0,top
J20,173.5,-80.0,0.0,top
J21,178.25,-76.0,0.0,top
J3,145.0,-100.495,0.0,top
J4,152.0,-100.27,180.0,top
J5,154.5,-81.995,0.0,top
J6,211.95,-54.8,90.0,top
J7,172.0,-66.0,90.0,top
J8,182.2,-59.775,90.0,top
L1,124.5,-124.0,180.0,top
L2,149.25,-90.25,90.0,top
R10,177.5,-85.0,0.0,top
R11,182.5,-86.5,0.0,top
R12,182.0,-67.4878,0.0,top
R13,149.0,-124.325,90.0,top
R14,151.857252,-124.581347,90.0,top
R15,130.947116,-119.632211,0.0,top
R16,130.825,-114.75,180.0,top
R17,130.5,-118.0,180.0,top
R18,151.0,-87.25,0.0,top
R19,160.5,-91.0,270.0,top
R20,123.0,-116.5,180.0,top
R21,159.25,-88.5,0.0,top
R22,141.5,-121.325,270.0,top
R23,120.0,-129.5,0.0,top
R24,147.5,-113.5,270.0,top
R25,150.05,-57.73,90.0,top
R26,151.05,-62.555,270.0,top
R27,204.625,-56.025,180.0,top
R28,204.825,-52.925,180.0,top
R6,161.0,-56.0,0.0,top
R7,176.275746,-63.5,270.0,top
R8,174.684002,-63.5,270.0,top
R9,177.61,-72.5,0.0,top
U1,171.4682,-54.3048,0.0,top
U2,153.750001,-90.000001,180.0,top
U3,144.3,-64.48,180.0,top
U4,196.3125,-52.9,90.0,top
