Designator,Mid X,Mid Y,Rotation,Layer
BT1,104.29,-74.93,90.0,top
BT2,127.0,-74.93,90.0,top
C10,193.04,-48.768,90.0,top
C11,145.288,-96.078,90.0,top
C12,140.716,-96.012,90.0,top
C13,185.928,-96.012,270.0,top
C14,194.056,-90.932,0.0,top
C15,206.248,-76.2,90.0,top
C16,204.216,-90.424,90.0,top
C17,151.384,-109.22,90.0,top
C18,166.891,-49.276,0.0,top
C19,151.384,-103.124,90.0,top
C20,158.15,-39.17,270.0,top
C21,142.91,-39.28,90.0,top
C4,165.1,-42.164,270.0,top
C5,144.78,-56.147,90.0,top
C6,146.909932,-56.134505,90.0,top
C7,168.148,-67.564,270.0,top
C8,165.1,-67.564,270.0,top
C9,196.088,-48.768,90.0,top
D1,150.876,-85.344,270.0,top
D2,155.448,-85.344,270.0,top
D4,159.004,-106.68,270.0,top
F2,201.168,-80.264,90.0,top
IC1,153.416,-94.996,270.0,top
J1,155.098,-117.408,0.0,top
J10,206.756,-54.864,0.0,top
J11,152.908,-55.372,0.0,top
J12,140.716,-51.308,0.0,top
J13,185.42,-59.944,0.0,top
J14,191.516,-67.564,0.0,top
J15,146.812,-115.316,0.0,top
J16,166.624,-115.316,0.0,top
J17,206.756,-43.688,0.0,top
J18,198.42,-44.44,0.0,top
J19,188.96,-50.46,0.0,top
J2,201.168,-87.63,0.0,top
J20,201.168,-73.152,0.0,top
J21,146.475,-31.276,180.0,top
J3,185.928,-40.132,90.0,top
J4,185.909,-36.068,90.0,top
J5,161.544,-36.576,90.0,top
J6,178.816,-52.832,0.0,top
J7,185.928,-46.736,180.0,top
J8,206.76,-40.12,0.0,top
J9,206.756,-49.276,0.0,top
L1,147.32,-101.092,180.0,top
L2,197.104,-93.472,90.0,top
R1,186.436,-64.418395,180.0,top
R10,155.956,-109.728,90.0,top
R11,162.56,-98.552,270.0,top
R12,155.448,-88.709,90.0,top
R13,151.701,-90.424,180.0,top
R14,158.496,-93.789,270.0,top
R15,148.844,-92.456,180.0,top
R16,157.48,-97.536,90.0,top
R17,165.354,-47.752,0.0,top
R18,203.708,-95.504,270.0,top
R19,196.596,-87.567,90.0,top
R2,146.812,-48.069,270.0,top
R20,168.91,-47.752,0.0,top
R21,197.612,-89.916,180.0,top
R24,154.94,-103.124,0.0,top
R27,147.785,-38.1775,270.0,top
R28,144.66,-38.05,270.0,top
R3,152.908,-52.324,180.0,top
R4,186.449506,-62.85172,180.0,top
R5,180.34,-47.561,270.0,top
R6,164.592,-39.624,0.0,top
R7,146.304,-52.324,0.0,top
R8,177.292,-46.927,270.0,top
R9,154.432,-109.728,90.0,top
U1,149.568,-50.934,90.0,top
U2,201.492,-49.092,90.0,top
U3,173.793,-38.043,0.0,top
U4,201.283999,-93.487999,180.0,top
U5,153.6575,-42.06,270.0,top
U6,178.348,-65.468,90.0,top
